Frame,Time,Object,VertexID,X,Y,Z,R,G,B
0,0.0,trump_lp_model,1,-2.511310829231126,9.97886948998567,70.51956149447837,252,154,66
1,0.39721464066374523,trump_lp_model,1,-2.519012374323546,9.964534497295398,70.49988601431525,252,154,66
2,0.7944292813274905,trump_lp_model,1,-2.5353261581616504,9.924576407866985,70.45148433311398,252,154,66
3,1.1916439219912356,trump_lp_model,1,-2.5314023052605488,9.933301077927888,70.46343578192163,252,154,66
4,1.588858562654981,trump_lp_model,1,-2.4765695528288223,10.061675153643586,70.62713577687876,252,154,66
5,1.986073203318726,trump_lp_model,1,-2.291316474744434,10.35381668310555,71.19647671401025,252,154,66
6,2.383287843982471,trump_lp_model,1,-2.014746682440139,10.461492153689646,72.13677353257137,252,154,66
7,2.7805024846462163,trump_lp_model,1,-1.8165752462372249,10.321211601692381,72.85233139514361,252,154,66
8,3.177717125309962,trump_lp_model,1,-1.7444168281304333,10.264939728425869,73.14384330924034,252,154,66
9,3.574931765973707,trump_lp_model,1,-1.7132058950259688,10.227578802378986,73.36581645487487,252,154,66
10,3.972146406637452,trump_lp_model,1,-1.7077754625009487,10.19887508760388,73.53628481500812,252,154,66
11,4.369361047301197,trump_lp_model,1,-1.7233921721847025,10.181425747482079,73.64396028559221,252,154,66
12,4.766575687964942,trump_lp_model,1,-1.7505668210728476,10.178985987941852,73.69193472779565,252,154,66
13,5.1637903286286875,trump_lp_model,1,-1.7760999727588127,10.196457814326699,73.69792731689677,252,154,66
14,5.561004969292433,trump_lp_model,1,-1.7923013252816993,10.232750642879012,73.6602178537727,252,154,66
15,5.958219609956178,trump_lp_model,1,-1.7927510505425706,10.284840071219424,73.57521977946804,252,154,66
16,6.355434250619924,trump_lp_model,1,-1.7718500690435792,10.348195117344657,73.43920037431754,252,154,66
17,6.752648891283669,trump_lp_model,1,-1.7212559771955642,10.421702711234062,73.23713881460809,252,154,66
18,7.149863531947414,trump_lp_model,1,-1.6042037349223006,10.542285296805163,72.80750502976626,252,154,66
19,7.547078172611159,trump_lp_model,1,-1.443944138210832,10.626552567560914,72.15523475453013,252,154,66
20,7.944292813274904,trump_lp_model,1,-1.2906327967798241,10.573923468907457,71.45246033249815,252,154,66
21,8.34150745393865,trump_lp_model,1,-1.1711295518348124,10.395056489527445,70.86245451962964,252,154,66
22,8.738722094602394,trump_lp_model,1,-1.0954295472986597,10.199515946100622,70.48440422220975,252,154,66
23,9.135936735266139,trump_lp_model,1,-1.061823827180056,10.091964149963266,70.3098546053341,252,154,66
24,9.533151375929885,trump_lp_model,1,-1.040203285263671,10.010653822797742,70.17872596239556,252,154,66
25,9.93036601659363,trump_lp_model,1,-1.0276671936168849,9.938562863480085,70.05642317770163,252,154,66
26,10.327580657257375,trump_lp_model,1,-1.0243841992125247,9.872610653973313,69.93421033805987,252,154,66
27,10.724795297921121,trump_lp_model,1,-1.0283417815081917,9.812740978619832,69.81216614539093,252,154,66
28,11.122009938584865,trump_lp_model,1,-1.0378084982495315,9.758594057210932,69.69104388950679,252,154,66
29,11.519224579248611,trump_lp_model,1,-1.0512440404180599,9.709675191959665,69.57208031487482,252,154,66
30,11.916439219912355,trump_lp_model,1,-1.067198044047467,9.665500928210587,69.45689443243417,252,154,66
31,12.313653860576101,trump_lp_model,1,-1.084265117697531,9.625711485755001,69.34734135888594,252,154,66
32,12.710868501239847,trump_lp_model,1,-1.101028626796507,9.590115731357043,69.24538864224643,252,154,66
33,13.108083141903592,trump_lp_model,1,-1.1160494505096064,9.558758637542793,69.15309377558413,252,154,66
34,13.505297782567338,trump_lp_model,1,-1.127832252344433,9.531910039468777,69.07251425196752,252,154,66
35,13.902512423231082,trump_lp_model,1,-1.1348592095455463,9.510053391790438,69.00573005072815,252,154,66
36,14.299727063894828,trump_lp_model,1,-1.1355337974368531,9.493750851083858,68.954809908066,252,154,66
37,14.696941704558574,trump_lp_model,1,-1.1297773140977012,9.485104882943604,68.92149650936696,252,154,66
38,15.094156345222318,trump_lp_model,1,-1.1379735569770797,9.502149470330629,68.89911143450709,252,154,66
39,15.491370985886062,trump_lp_model,1,-1.162146289748909,9.53714933875793,68.88156090620159,252,154,66
40,15.888585626549808,trump_lp_model,1,-1.186408967572913,9.564200313199338,68.86677618825044,252,154,66
41,16.285800267213553,trump_lp_model,1,-1.1967976210990388,9.55925333532975,68.85166541948517,252,154,66
42,16.6830149078773,trump_lp_model,1,-1.1959318999718616,9.527480245649196,68.83637476061556,252,154,66
43,17.080229548541045,trump_lp_model,1,-1.190816275129451,9.483721977766427,68.8222533874242,252,154,66
44,17.47744418920479,trump_lp_model,1,-1.1825076009348547,9.433026697734718,68.80939124496328,252,154,66
45,17.874658829868533,trump_lp_model,1,-1.1722538649869902,9.380746136158432,68.79781081949584,252,154,66
46,18.271873470532277,trump_lp_model,1,-1.161280568621732,9.332299482431075,68.7873097346545,252,154,66
47,18.669088111196025,trump_lp_model,1,-1.1507682406488666,9.293049710288543,68.77752821023054,252,154,66
48,19.06630275185977,trump_lp_model,1,-1.1418749236151378,9.268393522861272,68.7680052778316,252,154,66
49,19.463517392523517,trump_lp_model,1,-1.1343869980216315,9.253856153803609,68.7583024553283,252,154,66
50,19.86073203318726,trump_lp_model,1,-1.1273487976889964,9.241297575893782,68.74839725645761,252,154,66
51,20.257946673851006,trump_lp_model,1,-1.1208390245378852,9.230594114685047,68.73843584192932,252,154,66
52,20.65516131451475,trump_lp_model,1,-1.1149251373574285,9.221622095730662,68.72857561558472,252,154,66
53,21.052375955178494,trump_lp_model,1,-1.1096745949367566,9.214257844583898,68.71899646752816,252,154,66
54,21.449590595842242,trump_lp_model,1,-1.1051548560650006,9.208355200534962,68.7098333153379,252,154,66
55,21.846805236505986,trump_lp_model,1,-1.101433379531291,9.203824218531684,68.7012660491183,252,154,66
56,22.24401987716973,trump_lp_model,1,-1.098600110387802,9.200529980995805,68.69344082957915,252,154,66
57,22.641234517833478,trump_lp_model,1,-1.0964751585301853,9.198348813480576,68.68651506056173,252,154,66
58,23.038449158497222,trump_lp_model,1,-1.0947437162758311,9.197168284670791,68.68064614590736,252,154,66
59,23.43566379916097,trump_lp_model,1,-1.093214650388869,9.196875963251223,68.67595776006277,252,154,66
60,23.83287843982471,trump_lp_model,1,-1.0917305570279938,9.19735941790666,68.67260730686928,252,154,66
61,24.230093080488455,trump_lp_model,1,-1.0901115460888573,9.19850621732188,68.67071846077363,252,154,66
62,24.627307721152203,trump_lp_model,1,-1.0882114568616763,9.20020393018167,68.6704486256171,252,154,66
63,25.024522361815947,trump_lp_model,1,-1.0858503992421022,9.202328882039286,68.6719439621095,252,154,66
64,25.421737002479695,trump_lp_model,1,-1.0828597262573085,9.204779884711037,68.67533938782908,252,154,66
65,25.81895164314344,trump_lp_model,1,-1.0790595478029463,9.207410777487132,68.68079230661715,252,154,66
66,26.216166283807183,trump_lp_model,1,-1.074258730643146,9.210086642789316,68.68846012231499,252,154,66
67,26.61338092447093,trump_lp_model,1,-1.0682661415420365,9.212695049302372,68.69853396815851,252,154,66
68,27.010595565134675,trump_lp_model,1,-1.0608569178691827,9.215056106921942,68.71119373425203,252,154,66
69,27.40781020579842,trump_lp_model,1,-1.051952357703932,9.217068627464341,68.72645066372709,252,154,66
70,27.805024846462164,trump_lp_model,1,-1.0384156273517073,9.217698242829561,68.74865584848261,252,154,66
71,28.202239487125908,trump_lp_model,1,-1.0007286504906971,9.210525124918664,68.80565852529804,252,154,66
72,28.599454127789656,trump_lp_model,1,-0.9406903281643857,9.194627336946867,68.89455796624077,252,154,66
73,28.9966687684534,trump_lp_model,1,-0.8680709416652014,9.172534583506566,69.00082804538464,252,154,66
74,29.393883409117148,trump_lp_model,1,-0.7965196526605861,9.149958375410828,69.10414118093829,252,154,66
75,29.791098049780892,trump_lp_model,1,-0.7446101144245224,9.136410401927083,69.17819968827226,252,154,66
76,30.188312690444636,trump_lp_model,1,-0.706776976853729,9.130496514746628,69.21493099895392,252,154,66
77,30.58552733110838,trump_lp_model,1,-0.6534283177828772,9.119174681304193,69.23624797631922,252,154,66
78,30.982741971772125,trump_lp_model,1,-0.5883418294032862,9.10514325316501,69.24725500207904,252,154,66
79,31.379956612435873,trump_lp_model,1,-0.5177237203149788,9.091707710996479,69.25143744700515,252,154,66
80,31.777171253099617,trump_lp_model,1,-0.4496690452136375,9.082038617887752,69.25210079176493,252,154,66
81,32.17438589376336,trump_lp_model,1,-0.39217167061124864,9.079272807533393,69.25230316813231,252,154,66
82,32.571600534427105,trump_lp_model,1,-0.3526408201806661,9.086715760600809,69.25488908838233,252,154,66
83,32.96881517509085,trump_lp_model,1,-0.33838452941104763,9.107875334124808,69.26279300984214,252,154,66
84,33.3660298157546,trump_lp_model,1,-0.3565871593448113,9.14649549090212,69.27936538570525,252,154,66
85,33.76324445641834,trump_lp_model,1,-0.414039561421113,9.206308950598,69.30879990402927,252,154,66
86,34.16045909708209,trump_lp_model,1,-0.5205007738008587,9.294769909411372,69.36019225821533,252,154,66
87,34.55767373774583,trump_lp_model,1,-0.697782471636304,9.437478977817337,69.46195384161898,252,154,66
88,34.95488837840958,trump_lp_model,1,-0.9345403352219713,9.631647859198502,69.62074058810109,252,154,66
89,35.352103019073326,trump_lp_model,1,-1.2110426687371354,9.866426931636333,69.8363051487682,252,154,66
90,35.749317659737066,trump_lp_model,1,-1.507703937070853,10.130325714715585,70.10610657589638,252,154,66
91,36.146532300400814,trump_lp_model,1,-1.8063102671578386,10.411482704680765,70.4239836334117,252,154,66
92,36.543746941064555,trump_lp_model,1,-2.0912337061828166,10.697912723329662,70.77950269526194,252,154,66
93,36.94096158172831,trump_lp_model,1,-2.350297942707698,10.978001615800272,71.15787904349597,252,154,66
94,37.33817622239205,trump_lp_model,1,-2.5755315964835397,11.240854787647992,71.54047156605066,252,154,66
95,37.7353908630558,trump_lp_model,1,-2.7631120027929366,11.47666822818583,71.90570469353571,252,154,66
96,38.13260550371954,trump_lp_model,1,-2.913005432241323,11.67673975361593,72.23008028107063,252,154,66
97,38.52982014438328,trump_lp_model,1,-3.026122578481963,11.820550648911029,72.46076685363454,252,154,66
98,38.927034785047034,trump_lp_model,1,-3.077301313169111,11.883838236247136,72.53927764105113,252,154,66
99,39.324249425710775,trump_lp_model,1,-3.071128833963653,11.885659623553662,72.50388426302057,252,154,66
100,39.72146406637452,trump_lp_model,1,-3.0377704627385285,11.864342646188367,72.43787583785618,252,154,66
101,40.118678707038264,trump_lp_model,1,-3.006998011763413,11.844172468238293,72.3911156538571,252,154,66
102,40.51589334770201,trump_lp_model,1,-3.0044907934340563,11.83804496155892,72.38005241243967,252,154,66
