Frame,Time,Object,VertexID,X,Y,Z,R,G,B
0,0.000,U3DMesh,0,-110.5897,229.3561,-10.0690,177,170,164
0,0.000,U3DMesh,1,-110.5152,233.5862,-16.0160,166,161,155
0,0.000,U3DMesh,2,-108.6489,232.5939,-2.4263,186,177,172
0,0.000,U3DMesh,4096,254.0290,269.5469,-38.1100,23,19,8
0,0.000,U3DMesh,4,-113.7186,213.6533,-0.5483,149,139,130
0,0.000,U3DMesh,6,-104.4071,239.1010,0.2492,171,162,155
0,0.000,U3DMesh,12,-57.8246,235.8122,33.1891,147,138,129
0,0.000,U3DMesh,13,-46.9542,218.0949,39.9515,128,123,117
0,0.000,U3DMesh,14,-38.5225,236.3919,29.3977,177,168,159
0,0.000,U3DMesh,15,-69.0270,219.2957,41.3054,154,145,140
0,0.000,U3DMesh,16,-76.3134,234.8520,29.9389,147,138,129
0,0.000,U3DMesh,17,-93.0537,231.7790,24.3470,162,152,143
0,0.000,U3DMesh,4113,253.6466,269.5089,-37.2776,26,21,15
0,0.000,U3DMesh,19,-110.7325,211.4950,13.7290,134,125,116
0,0.000,U3DMesh,21,-99.3998,217.1135,30.5211,143,134,129
0,0.000,U3DMesh,22,-88.7600,219.5784,35.9939,159,150,141
0,0.000,U3DMesh,24,-89.0698,206.4628,41.4637,135,126,119
0,0.000,U3DMesh,25,-66.5561,205.4267,43.6941,169,160,151
0,0.000,U3DMesh,26,-95.7930,207.0402,38.3696,148,139,130
0,0.000,U3DMesh,28,-87.3160,190.8651,44.7731,152,143,134
0,0.000,U3DMesh,29,-75.1424,188.8224,44.7529,120,111,106
0,0.000,U3DMesh,31,-105.0549,192.1879,26.0148,131,122,117
0,0.000,U3DMesh,32,-113.1624,194.1088,12.6871,143,134,125
0,0.000,U3DMesh,33,-109.8307,175.1719,6.3765,119,110,101
0,0.000,U3DMesh,2080,156.5041,291.6669,2.3109,134,124,112
0,0.000,U3DMesh,36,-98.7425,174.1277,29.6352,116,107,102
0,0.000,U3DMesh,38,-86.6012,157.6487,37.7086,127,117,108
0,0.000,U3DMesh,40,-102.2177,158.4291,18.5581,122,111,107
0,0.000,U3DMesh,42,-99.9003,155.5204,4.9150,120,111,102
0,0.000,U3DMesh,43,-99.0572,143.4789,22.3144,137,128,119
0,0.000,U3DMesh,44,-86.1758,144.2785,33.7051,116,107,100
0,0.000,U3DMesh,45,-58.6354,153.7873,41.8202,150,141,132
0,0.000,U3DMesh,46,-57.5336,171.0123,46.1534,140,130,121
0,0.000,U3DMesh,52,-42.6473,148.1927,30.5774,163,154,149
0,0.000,U3DMesh,54,-34.9791,156.7624,30.2129,153,144,139
0,0.000,U3DMesh,56,-45.8910,188.1092,45.1769,144,135,126
0,0.000,U3DMesh,58,-28.3957,178.3734,32.2601,169,160,153
0,0.000,U3DMesh,60,-41.8893,205.5301,42.6812,162,153,144
0,0.000,U3DMesh,65,-24.4136,229.8567,28.8686,172,163,158
0,0.000,U3DMesh,68,-22.5485,199.6622,34.4071,146,137,128
0,0.000,U3DMesh,70,41.2842,170.6640,35.0153,135,126,117
0,0.000,U3DMesh,71,17.9671,173.4885,36.5797,115,106,101
0,0.000,U3DMesh,72,16.4969,153.1700,19.5435,129,120,115
0,0.000,U3DMesh,74,-7.5455,181.9614,35.1038,147,138,133
0,0.000,U3DMesh,76,-4.3440,210.3536,41.2374,157,148,139
0,0.000,U3DMesh,78,18.5674,208.5538,44.3102,162,153,144
0,0.000,U3DMesh,80,18.0769,238.3271,15.4378,153,144,135
0,0.000,U3DMesh,81,-5.0085,239.6558,16.9206,144,133,129
0,0.000,U3DMesh,82,40.5574,191.5263,41.4078,155,146,137
0,0.000,U3DMesh,83,18.5935,192.5440,43.8095,134,125,120
0,0.000,U3DMesh,84,39.5723,208.7608,41.9589,143,134,125
0,0.000,U3DMesh,86,18.0535,246.6952,-2.3362,158,148,138
0,0.000,U3DMesh,87,36.9698,238.2312,15.1146,149,140,131
0,0.000,U3DMesh,88,57.6370,224.3192,30.7560,135,126,117
0,0.000,U3DMesh,90,63.4640,191.6434,35.7195,149,140,131
0,0.000,U3DMesh,91,63.7935,172.1026,31.4503,149,139,130
0,0.000,U3DMesh,92,74.6573,213.6682,29.4486,168,163,157
0,0.000,U3DMesh,93,84.3989,190.6465,29.3717,164,155,146
0,0.000,U3DMesh,94,105.4204,183.5086,22.6887,133,124,115
0,0.000,U3DMesh,95,115.5481,185.0532,26.8900,174,165,160
0,0.000,U3DMesh,96,117.1435,195.6438,23.9795,152,143,134
0,0.000,U3DMesh,97,102.0937,207.8889,20.0893,128,123,117
0,0.000,U3DMesh,98,86.3181,217.6118,23.7808,169,160,151
0,0.000,U3DMesh,99,71.1411,226.4217,25.0318,136,129,123
0,0.000,U3DMesh,100,55.2867,237.5530,12.9821,161,152,147
0,0.000,U3DMesh,2149,-91.3686,1.2501,25.3415,106,90,75
0,0.000,U3DMesh,101,36.9871,245.5575,-2.3552,135,125,115
0,0.000,U3DMesh,103,54.5630,244.9178,-3.8466,162,152,140
0,0.000,U3DMesh,2152,248.7945,343.1781,-10.7215,30,29,27
0,0.000,U3DMesh,105,84.1338,229.5387,19.6575,145,136,131
0,0.000,U3DMesh,2154,244.3307,340.5060,-12.5824,128,123,120
0,0.000,U3DMesh,107,116.9986,213.4022,20.5620,131,126,120
0,0.000,U3DMesh,4195,251.2982,268.4293,-37.4420,50,38,24
0,0.000,U3DMesh,114,128.3243,230.7707,15.0853,150,141,132
0,0.000,U3DMesh,116,105.8026,235.9524,11.7503,148,139,134
0,0.000,U3DMesh,117,111.6475,254.7735,1.4126,137,127,118
0,0.000,U3DMesh,122,141.1358,250.1431,4.6026,136,127,118
0,0.000,U3DMesh,123,126.5512,258.6336,-1.1298,145,136,127
0,0.000,U3DMesh,4225,251.2433,268.1757,-38.3106,47,39,26
0,0.000,U3DMesh,133,143.8618,281.1342,-13.2334,186,177,168
0,0.000,U3DMesh,147,122.6782,259.5548,6.9759,164,156,145
0,0.000,U3DMesh,150,130.9931,281.6941,-15.1906,144,134,124
0,0.000,U3DMesh,2204,115.4388,114.5426,3.5915,172,162,153
0,0.000,U3DMesh,158,159.3189,279.5843,3.1571,134,126,115
0,0.000,U3DMesh,2209,114.2671,95.9484,4.3155,121,107,96
0,0.000,U3DMesh,161,154.5106,273.9998,2.2302,136,128,115
0,0.000,U3DMesh,2211,119.7427,80.7891,-6.4827,104,88,72
0,0.000,U3DMesh,2212,113.6482,80.5361,3.2683,117,101,86
0,0.000,U3DMesh,166,164.8637,269.1988,3.6226,152,144,131
0,0.000,U3DMesh,2215,119.4840,111.5098,12.2143,141,130,126
0,0.000,U3DMesh,167,161.7970,282.4082,2.6000,150,142,129
0,0.000,U3DMesh,2218,130.5292,131.0200,21.7816,136,127,118
0,0.000,U3DMesh,2219,127.5495,109.1025,11.8253,98,87,83
0,0.000,U3DMesh,170,156.7471,257.8179,1.4966,138,130,117
0,0.000,U3DMesh,171,168.5571,254.9669,2.6052,152,142,130
0,0.000,U3DMesh,175,151.0721,246.2479,9.3881,124,116,103
0,0.000,U3DMesh,2224,129.6592,78.2654,6.2232,92,78,65
0,0.000,U3DMesh,177,174.5548,239.1205,9.3145,118,104,93
0,0.000,U3DMesh,2227,126.7407,43.3233,6.1088,85,76,67
0,0.000,U3DMesh,180,117.3992,258.1630,9.8271,126,120,108
0,0.000,U3DMesh,182,150.6750,229.0394,19.1773,128,116,102
0,0.000,U3DMesh,183,139.8133,220.1097,25.9381,142,128,115
0,0.000,U3DMesh,184,141.7982,206.5054,30.1257,70,60,48
0,0.000,U3DMesh,185,127.9020,214.4379,30.3090,131,117,104
0,0.000,U3DMesh,2237,127.7682,79.7187,-8.0104,120,104,91
0,0.000,U3DMesh,190,88.5926,190.6083,35.9601,63,53,44
0,0.000,U3DMesh,2239,125.9936,56.9826,-3.6218,95,86,77
0,0.000,U3DMesh,189,100.2005,206.9016,34.1972,130,116,103
0,0.000,U3DMesh,2241,129.4773,35.5162,0.6497,81,72,67
0,0.000,U3DMesh,2242,126.6396,35.9575,-4.5719,82,73,68
0,0.000,U3DMesh,195,110.0597,225.2132,28.4247,129,122,106
0,0.000,U3DMesh,198,90.2387,232.9066,24.4412,156,144,130
0,0.000,U3DMesh,2248,137.7076,16.8130,11.4435,56,52,43
0,0.000,U3DMesh,2251,136.9780,16.5358,-4.4603,90,80,70
0,0.000,U3DMesh,203,80.1333,229.2628,29.1417,140,128,114
0,0.000,U3DMesh,209,88.0310,253.8162,8.5732,125,117,104
0,0.000,U3DMesh,2258,119.1916,34.3592,11.1401,91,82,73
0,0.000,U3DMesh,2259,113.5783,42.7757,3.8753,90,81,76
0,0.000,U3DMesh,213,53.6599,248.8441,0.6044,135,131,122
0,0.000,U3DMesh,214,63.8201,250.1624,-0.1296,142,134,123
0,0.000,U3DMesh,2267,121.5524,9.7260,5.5312,87,82,78
0,0.000,U3DMesh,221,83.4857,258.1213,-1.4223,125,117,106
0,0.000,U3DMesh,2271,117.6337,26.0786,-4.5316,64,55,50
0,0.000,U3DMesh,2276,146.6694,1.2032,-6.2242,102,89,80
0,0.000,U3DMesh,2277,152.4182,1.1970,4.2490,121,111,101
0,0.000,U3DMesh,230,67.8483,245.4892,-4.7856,148,138,128
0,0.000,U3DMesh,238,35.9608,248.2548,-8.3499,170,161,152
0,0.000,U3DMesh,245,17.4315,248.1774,-14.8280,200,193,185
0,0.000,U3DMesh,248,-1.3286,250.4156,-1.5922,143,130,121
0,0.000,U3DMesh,250,-33.5215,259.5766,0.0833,157,143,132
0,0.000,U3DMesh,252,-56.2082,257.2016,0.6028,146,136,126
0,0.000,U3DMesh,255,-79.7010,251.8570,0.4872,159,145,134
0,0.000,U3DMesh,257,-55.7130,252.2475,13.1111,164,155,150
0,0.000,U3DMesh,2309,257.4151,246.3809,-16.2804,98,94,91
0,0.000,U3DMesh,264,-134.7675,235.0411,-5.9307,168,162,150
0,0.000,U3DMesh,268,-90.8866,52.1119,-34.9814,91,75,59
0,0.000,U3DMesh,270,-84.8229,37.0209,-31.2674,82,73,64
0,0.000,U3DMesh,272,-86.8349,53.8328,-38.6786,89,75,62
0,0.000,U3DMesh,274,-75.1462,30.9922,-44.1528,82,73,68
0,0.000,U3DMesh,275,-83.2251,28.7028,-39.4864,82,73,64
0,0.000,U3DMesh,277,-77.0077,39.3431,-26.6021,70,61,52
0,0.000,U3DMesh,278,-72.0520,24.5255,-28.0257,60,51,46
0,0.000,U3DMesh,286,-73.2058,13.0097,-39.2461,78,73,67
0,0.000,U3DMesh,287,-72.5532,12.3565,-33.3821,78,73,69
0,0.000,U3DMesh,301,-55.5687,15.9700,-46.0615,113,100,91
0,0.000,U3DMesh,302,-59.0868,18.9741,-43.0501,66,61,57
0,0.000,U3DMesh,2356,-62.4894,136.7998,9.3669,130,121,112
0,0.000,U3DMesh,309,-54.8036,17.7492,-33.4036,96,83,74
0,0.000,U3DMesh,2357,-66.3940,130.7631,9.5645,120,110,101
0,0.000,U3DMesh,2359,-96.5277,118.3745,7.1517,110,101,96
0,0.000,U3DMesh,316,-80.9364,73.1425,-32.1004,103,91,79
0,0.000,U3DMesh,317,-83.0539,73.0590,-24.3329,92,80,68
0,0.000,U3DMesh,319,-100.3145,89.1099,-19.1063,78,68,59
0,0.000,U3DMesh,322,-83.4252,85.9183,-30.3474,100,90,81
0,0.000,U3DMesh,2370,-76.3301,158.8275,-4.3221,116,111,107
0,0.000,U3DMesh,2374,-113.8452,105.7317,7.4760,144,132,118
0,0.000,U3DMesh,328,-87.6098,102.0540,-24.2585,115,102,93
0,0.000,U3DMesh,330,-100.7475,128.1887,-41.3996,131,122,113
0,0.000,U3DMesh,2379,-114.7373,90.2535,7.0043,116,102,91
0,0.000,U3DMesh,2380,-114.7176,98.1716,15.4453,114,104,95
0,0.000,U3DMesh,331,-100.9999,116.5986,-38.8394,113,104,99
0,0.000,U3DMesh,336,-84.3186,102.0022,-37.9047,118,105,96
0,0.000,U3DMesh,2384,258.3880,251.3431,-26.4084,114,85,81
0,0.000,U3DMesh,339,-95.0599,120.5686,-50.2631,113,108,102
0,0.000,U3DMesh,2388,257.1602,250.8826,-28.4739,90,69,64
0,0.000,U3DMesh,342,-78.6374,118.9576,-52.3749,110,101,96
0,0.000,U3DMesh,348,-100.2392,155.5095,-47.9983,133,123,114
0,0.000,U3DMesh,349,-92.4458,155.3723,-57.9838,127,117,108
0,0.000,U3DMesh,350,-80.0166,120.1541,-27.3026,140,126,115
0,0.000,U3DMesh,2396,259.6892,246.3234,-25.4817,73,56,49
0,0.000,U3DMesh,353,-71.8455,128.4609,-55.2781,134,125,116
0,0.000,U3DMesh,354,-65.7393,142.1716,-57.2454,156,146,137
0,0.000,U3DMesh,355,-64.7575,135.7004,-30.5802,130,121,112
0,0.000,U3DMesh,357,-62.3252,127.6692,-38.1921,143,133,124
0,0.000,U3DMesh,360,-47.3780,147.3437,-53.4007,163,154,149
0,0.000,U3DMesh,362,-38.5652,154.4808,-41.5613,177,168,163
0,0.000,U3DMesh,363,-41.0075,167.5387,-32.4685,148,139,132
0,0.000,U3DMesh,364,-56.8098,151.8203,-27.2974,142,132,123
0,0.000,U3DMesh,366,-10.9365,164.6351,-49.2664,160,151,146
0,0.000,U3DMesh,367,-15.3365,152.7955,-32.2693,162,153,144
0,0.000,U3DMesh,368,-28.7380,164.2447,-29.7191,151,142,133
0,0.000,U3DMesh,372,-80.5018,149.4909,-23.8669,111,106,102
0,0.000,U3DMesh,375,-22.6439,184.0381,-55.2446,134,125,116
0,0.000,U3DMesh,376,-92.9756,124.5633,-26.0083,116,109,103
0,0.000,U3DMesh,377,62.3291,152.0480,-55.5356,142,133,124
0,0.000,U3DMesh,378,60.8584,171.5000,-68.5658,149,139,130
0,0.000,U3DMesh,379,84.7173,173.3599,-61.0619,149,140,131
0,0.000,U3DMesh,380,37.6729,150.1872,-55.5031,135,126,119
0,0.000,U3DMesh,381,37.2439,170.5567,-69.9525,135,126,117
0,0.000,U3DMesh,382,13.6694,153.0432,-52.6171,129,120,115
0,0.000,U3DMesh,383,13.8941,173.3768,-69.3649,115,106,101
0,0.000,U3DMesh,387,87.8140,143.6763,-35.3099,148,139,130
0,0.000,U3DMesh,388,86.3549,154.3868,-50.2248,152,143,134
0,0.000,U3DMesh,389,112.5159,163.3661,-47.3657,139,130,123
0,0.000,U3DMesh,390,64.3941,139.9520,-37.7983,158,149,140
0,0.000,U3DMesh,391,36.3331,139.0542,-37.5310,160,151,142
0,0.000,U3DMesh,392,10.9223,142.6967,-35.5029,161,152,143
0,0.000,U3DMesh,394,85.1807,138.4939,-18.2980,151,139,127
0,0.000,U3DMesh,395,63.1689,134.5109,-18.3415,163,156,148
0,0.000,U3DMesh,396,36.1332,133.7029,-17.2727,156,149,143
0,0.000,U3DMesh,397,11.0638,137.6910,-16.3072,162,153,146
0,0.000,U3DMesh,398,-43.8380,163.2505,-12.4745,150,139,135
0,0.000,U3DMesh,400,-107.5338,105.4330,-27.8023,139,130,125
0,0.000,U3DMesh,405,-111.9157,97.6610,-24.6016,144,132,118
0,0.000,U3DMesh,2453,282.5271,258.0525,-28.1818,92,88,85
0,0.000,U3DMesh,407,-108.1619,81.7694,-24.7067,116,102,91
0,0.000,U3DMesh,408,-98.9072,69.3933,-27.3309,120,103,87
0,0.000,U3DMesh,410,-111.4259,89.7490,-32.7276,114,104,95
0,0.000,U3DMesh,416,-98.9554,69.1156,-33.0542,105,91,78
0,0.000,U3DMesh,417,-63.1080,169.7941,-68.5035,140,130,121
0,0.000,U3DMesh,418,-80.0929,188.1317,-66.3873,120,111,106
0,0.000,U3DMesh,419,-67.4839,187.6382,-69.7184,121,112,103
